PING 192.168.2.101 (192.168.2.101) 56(84) bytes of data.
64 bytes from 192.168.2.101: icmp_seq=172 ttl=128 time=1.74 ms
64 bytes from 192.168.2.101: icmp_seq=173 ttl=128 time=1.86 ms
64 bytes from 192.168.2.101: icmp_seq=174 ttl=128 time=1.68 ms
64 bytes from 192.168.2.101: icmp_seq=175 ttl=128 time=2.32 ms
64 bytes from 192.168.2.101: icmp_seq=176 ttl=128 time=1.84 ms
64 bytes from 192.168.2.101: icmp_seq=177 ttl=128 time=1.71 ms
64 bytes from 192.168.2.101: icmp_seq=178 ttl=128 time=1.81 ms
64 bytes from 192.168.2.101: icmp_seq=179 ttl=128 time=2.55 ms
64 bytes from 192.168.2.101: icmp_seq=180 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=181 ttl=128 time=2.10 ms
64 bytes from 192.168.2.101: icmp_seq=182 ttl=128 time=1.84 ms
64 bytes from 192.168.2.101: icmp_seq=183 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=184 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=185 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=186 ttl=128 time=1.97 ms
64 bytes from 192.168.2.101: icmp_seq=187 ttl=128 time=1.98 ms
64 bytes from 192.168.2.101: icmp_seq=188 ttl=128 time=4.54 ms
64 bytes from 192.168.2.101: icmp_seq=189 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=190 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=191 ttl=128 time=1.84 ms
64 bytes from 192.168.2.101: icmp_seq=192 ttl=128 time=1.56 ms
64 bytes from 192.168.2.101: icmp_seq=193 ttl=128 time=1.65 ms
64 bytes from 192.168.2.101: icmp_seq=194 ttl=128 time=1.80 ms
64 bytes from 192.168.2.101: icmp_seq=195 ttl=128 time=2.16 ms
64 bytes from 192.168.2.101: icmp_seq=196 ttl=128 time=1.75 ms
64 bytes from 192.168.2.101: icmp_seq=197 ttl=128 time=1.71 ms
64 bytes from 192.168.2.101: icmp_seq=198 ttl=128 time=1.84 ms
64 bytes from 192.168.2.101: icmp_seq=199 ttl=128 time=1.74 ms
64 bytes from 192.168.2.101: icmp_seq=200 ttl=128 time=1.65 ms
64 bytes from 192.168.2.101: icmp_seq=201 ttl=128 time=1.66 ms
64 bytes from 192.168.2.101: icmp_seq=202 ttl=128 time=3.26 ms
64 bytes from 192.168.2.101: icmp_seq=203 ttl=128 time=1.86 ms
64 bytes from 192.168.2.101: icmp_seq=204 ttl=128 time=1.79 ms
64 bytes from 192.168.2.101: icmp_seq=205 ttl=128 time=2.35 ms
64 bytes from 192.168.2.101: icmp_seq=206 ttl=128 time=1.83 ms
64 bytes from 192.168.2.101: icmp_seq=207 ttl=128 time=1.83 ms
64 bytes from 192.168.2.101: icmp_seq=208 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=209 ttl=128 time=2.02 ms
64 bytes from 192.168.2.101: icmp_seq=210 ttl=128 time=1.83 ms
64 bytes from 192.168.2.101: icmp_seq=211 ttl=128 time=1.56 ms
64 bytes from 192.168.2.101: icmp_seq=212 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=213 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=214 ttl=128 time=1.74 ms
64 bytes from 192.168.2.101: icmp_seq=215 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=216 ttl=128 time=1.71 ms
64 bytes from 192.168.2.101: icmp_seq=217 ttl=128 time=1.79 ms
64 bytes from 192.168.2.101: icmp_seq=218 ttl=128 time=2.11 ms
64 bytes from 192.168.2.101: icmp_seq=219 ttl=128 time=2.07 ms
64 bytes from 192.168.2.101: icmp_seq=220 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=221 ttl=128 time=1.85 ms
64 bytes from 192.168.2.101: icmp_seq=222 ttl=128 time=1.87 ms
64 bytes from 192.168.2.101: icmp_seq=223 ttl=128 time=1.80 ms
64 bytes from 192.168.2.101: icmp_seq=224 ttl=128 time=3.34 ms
64 bytes from 192.168.2.101: icmp_seq=225 ttl=128 time=1.93 ms
64 bytes from 192.168.2.101: icmp_seq=226 ttl=128 time=13.2 ms
64 bytes from 192.168.2.101: icmp_seq=227 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=228 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=229 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=230 ttl=128 time=1.82 ms
64 bytes from 192.168.2.101: icmp_seq=231 ttl=128 time=6.62 ms
64 bytes from 192.168.2.101: icmp_seq=232 ttl=128 time=14.5 ms
64 bytes from 192.168.2.101: icmp_seq=233 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=234 ttl=128 time=1.80 ms
64 bytes from 192.168.2.101: icmp_seq=235 ttl=128 time=1.66 ms
64 bytes from 192.168.2.101: icmp_seq=236 ttl=128 time=1.80 ms
64 bytes from 192.168.2.101: icmp_seq=237 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=238 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=239 ttl=128 time=2.73 ms
64 bytes from 192.168.2.101: icmp_seq=240 ttl=128 time=3.12 ms
64 bytes from 192.168.2.101: icmp_seq=241 ttl=128 time=1.58 ms
64 bytes from 192.168.2.101: icmp_seq=242 ttl=128 time=1.56 ms
64 bytes from 192.168.2.101: icmp_seq=243 ttl=128 time=1.78 ms
